POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;2;Classified;31;51:11.979;-;-;13;1:25.565;107.7;Virgin Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
2;11;Classified;31;51:16.154;+4.175;+4.175;30;1:25.224;108.1;Audi Sport ABT Formula E Team;;4;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
3;9;Classified;31;51:17.718;+5.739;+1.564;30;1:25.125;108.3;Team e.dams Renault;;3;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
4;8;Classified;31;51:21.531;+9.552;+3.813;27;1:25.306;108.0;Team e.dams Renault;;3;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
5;7;Classified;31;51:25.701;+13.722;+4.170;16;1:25.449;107.9;Dragon Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
6;5;Classified;31;51:29.137;+17.158;+3.436;28;1:25.087;108.3;Mahindra Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
7;6;Classified;31;51:30.600;+18.621;+1.463;29;1:25.582;107.7;Dragon Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Oriol;Servià;;ESP;ESP;;
8;55;Classified;31;51:31.905;+19.926;+1.305;29;1:25.334;108.0;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
9;3;Classified;31;51:32.032;+20.053;+0.127;20;1:24.429;109.2;Virgin Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
10;66;Classified;31;51:57.642;+45.663;+25.610;7;1:26.210;106.9;Audi Sport ABT Formula E Team;;1;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
11;88;Classified;31;52:07.812;+55.833;+10.170;24;1:26.800;106.2;China Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Ho-Pin;Tung;;CHN;CHN;;
12;30;Classified;31;52:08.605;+56.626;+0.793;26;1:24.551;109.0;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
13;28;Classified;31;52:17.015;+1:05.036;+8.410;29;1:24.583;109.0;Andretti Autosport Formula E Team;;1;;Spark - Renault SRT_01 E;;Matthew;Brabham;;USA;USA;;
14;21;Classified;30;49:51.332;1 Lap;1 Lap;29;1:24.599;108.9;Mahindra Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
15;27;Classified;30;52:42.625;1 Lap;+2:51.293;28;1:24.446;109.1;Andretti Autosport Formula E Team;;2;;Spark - Renault SRT_01 E;;Franck;Montagny;;FRA;FRA;;
16;77;Classified;28;52:08.561;3 Laps;2 Laps;24;1:26.498;106.5;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Katherine;Legge;;GBR;GBR;;
17;10;Classified;28;52:53.219;3 Laps;+44.658;22;1:26.712;106.3;Trulli Formula E Team;;2;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
;99;Not classified;22;38:22.452;;;20;1:25.272;108.1;China Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
;18;Not classified;7;16:00.192;;;5;1:30.227;102.1;Trulli Formula E Team;;2;;Spark - Renault SRT_01 E;;Michela;Cerruti;;ITA;ITA;;
;23;Excluded;14;40:15.062;;;14;1:26.425;106.6;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
