POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;55;Classified;35;48:52.100;-;-;13;1:12.694;119.2;Amlin Aguri;;1;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
2;8;Classified;35;48:57.454;+5.354;+5.354;30;1:12.436;119.6;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
3;99;Classified;35;49:00.652;+8.552;+3.198;31;1:11.591;121.0;China Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
4;3;Classified;35;49:03.248;+11.148;+2.596;30;1:12.292;119.9;Virgin Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
5;21;Classified;35;49:03.635;+11.535;+0.387;29;1:11.923;120.5;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
6;27;Classified;35;49:05.419;+13.319;+1.784;30;1:12.205;120.0;Andretti Autosport Formula E Team;;4;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
7;2;Classified;35;49:05.717;+13.617;+0.298;29;1:11.540;121.1;Virgin Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
8;23;Classified;35;49:07.564;+15.464;+1.847;26;1:12.217;120.0;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
9;6;Classified;35;49:11.434;+19.334;+3.870;32;1:12.551;119.4;Dragon Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Oriol;Servià;;ESP;ESP;;
10;30;Classified;35;49:21.073;+28.973;+9.639;7;1:13.149;118.5;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
11;88;Classified;35;50:04.958;+1:12.858;+43.885;25;1:13.430;118.0;China Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Ho-Pin;Tung;;CHN;CHN;;
12;28;Classified;34;49:36.301;1 Lap;1 Lap;30;1:13.014;118.7;Andretti Autosport Formula E Team;;4;;Spark - Renault SRT_01 E;;Marco;Andretti;;USA;USA;;
13;66;Classified;33;47:04.215;2 Laps;1 Lap;30;1:12.164;120.1;Audi Sport ABT Formula E Team;;3;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
14;7;Classified;33;49:39.034;2 Laps;+2:34.819;30;1:11.574;121.1;Dragon Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
;10;Not classified;30;43:13.843;;;29;1:13.049;118.6;Trulli Formula E Team;;4;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
;11;Not classified;26;37:46.696;;;25;1:12.114;120.2;Audi Sport ABT Formula E Team;;2;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
;9;Not classified;23;34:09.809;;;14;1:12.638;119.3;Team e.dams Renault;;1;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
;18;Not classified;20;33:22.281;;;5;1:16.300;113.6;Trulli Formula E Team;;2;;Spark - Renault SRT_01 E;;Michela;Cerruti;;ITA;ITA;;
;5;Not classified;15;18:25.235;;;13;1:13.050;118.6;Mahindra Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
;77;Excluded;35;49:06.824;;;27;1:12.747;119.1;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
