POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;9;Classified;29;47:54.784;-;-;12;1:28.804;118.6;Team e.dams Renault;;4;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
2;7;Classified;29;47:55.723;+0.939;+0.939;25;1:29.339;117.9;Dragon Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
3;27;Classified;29;47:56.451;+1.667;+0.728;26;1:29.218;118.0;Andretti Autosport Formula E Team;;2;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
4;11;Classified;29;47:57.193;+2.409;+0.742;25;1:28.229;119.3;Audi Sport ABT Formula E Team;;1;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
5;99;Classified;29;48:02.154;+7.370;+4.961;23;1:29.379;117.8;NEXTEV TCR Formula E Team;;4;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
6;2;Classified;29;48:02.546;+7.762;+0.392;27;1:29.364;117.8;Virgin Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
7;8;Classified;29;48:03.337;+8.553;+0.791;23;1:29.342;117.9;Team e.dams Renault;;1;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
8;6;Classified;29;48:04.291;+9.507;+0.954;28;1:29.379;117.8;Dragon Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
9;88;Classified;29;48:04.816;+10.032;+0.525;25;1:29.501;117.7;NEXTEV TCR Formula E Team;;2;;Spark - Renault SRT_01 E;;Oliver;Turvey;;GBR;GBR;;
10;30;Classified;29;48:06.861;+12.077;+2.045;25;1:29.409;117.8;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
11;28;Classified;29;48:10.730;+15.946;+3.869;27;1:29.709;117.4;Andretti Autosport Formula E Team;;4;;Spark - Renault SRT_01 E;;Simona;de Silvestro;;CHE;CHE;;
12;5;Classified;29;48:30.379;+35.595;+19.649;28;1:29.791;117.3;Mahindra Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
13;23;Classified;29;48:35.818;+41.034;+5.439;16;1:29.611;117.5;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
14;3;Classified;29;48:37.481;+42.697;+1.663;12;1:30.103;116.9;Virgin Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Fabio;Leimer;;CHE;CHE;;
15;10;Classified;29;48:38.057;+43.273;+0.576;21;1:30.250;116.7;Trulli Formula E Team;;3;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
16;21;Classified;29;48:43.207;+48.423;+5.150;29;1:28.512;119.0;Mahindra Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
17;77;Classified;29;48:56.771;+1:01.987;+13.564;25;1:29.554;117.6;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
;18;Not classified;25;44:17.490;;;22;1:30.643;116.2;Trulli Formula E Team;;2;;Spark - Renault SRT_01 E;;Alex;Fontana;;CHE;CHE;;
;66;Not classified;15;24:42.414;;;9;1:30.065;116.9;Audi Sport ABT Formula E Team;;3;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
;55;Not classified;15;26:43.034;;;8;1:31.222;115.4;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Sakon;Yamamoto;;JPN;JPN;;
