POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;9;Classified;33;45:59.697;-;-;23;1:17.413;129.5;Renault e.Dams;;4;;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
2;11;Classified;33;46:03.231;+3.534;+3.534;22;1:17.795;128.9;ABT Schaeffler Audi Sport;;2;;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
3;7;Classified;33;46:06.422;+6.725;+3.191;22;1:17.789;128.9;Dragon Racing;;2;;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
4;6;Classified;33;46:06.504;+6.807;+0.082;26;1:17.804;128.9;Dragon Racing;;3;;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
5;8;Classified;33;46:20.754;+21.057;+14.250;23;1:18.599;127.6;Renault e.Dams;;2;;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
6;55;Classified;33;46:22.107;+22.410;+1.353;22;1:18.499;127.7;Team Aguri;;3;;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
7;25;Classified;33;46:57.423;+57.726;+35.316;22;1:18.373;127.9;DS Virgin Racing Formula E Team;;1;;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
8;66;Classified;33;47:00.441;+1:00.744;+3.018;29;1:18.809;127.2;ABT Schaeffler Audi Sport;;3;;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
9;4;Classified;33;47:03.256;+1:03.559;+2.815;6;1:19.636;125.9;Venturi Formula E Team;;3;;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
10;27;Classified;33;47:03.537;+1:03.840;+0.281;27;1:18.710;127.4;Andretti Formula E Race Team;;2;;SRT01-e;;Robin;FRIJNS;;NED;NED;;
11;28;Classified;32;46:16.046;1 Lap;1 Lap;22;1:20.453;124.6;Andretti Formula E Race Team;;4;;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
12;88;Classified;32;46:16.556;1 Lap;+0.510;19;1:19.675;125.8;NEXTEV TCR Formula E Team;;1;;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
13;23;Classified;32;46:35.155;1 Lap;+18.599;22;1:19.760;125.7;Mahindra Racing Formula E Team;;3;;Mahindra M2ELECTRO;;Oliver;ROWLAND;;GBR;GBR;;
14;77;Classified;32;47:22.672;1 Lap;+47.517;25;1:19.036;126.9;Team Aguri;;1;;SRT01-e;;Nathanaël;BERTHON;;FRA;FRA;;
15;1;Classified;31;44:03.474;2 Laps;1 Lap;22;1:18.344;128.0;NEXTEV TCR Formula E Team;;1;;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
;21;Not classified;26;40:37.867;;;10;1:19.932;125.4;Mahindra Racing Formula E Team;;4;;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
;2;Not classified;17;22:54.298;;;11;1:19.623;125.9;DS Virgin Racing Formula E Team;;2;;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
