POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;Classified;36;47:02.511;-;-;27;1:12.004;117.4;Envision Virgin Racing;;;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
2;94;Classified;36;47:09.000;+6.489;+6.489;31;1:11.585;118.1;MAHINDRA RACING;;;;Mahindra M5Electro;MICHELIN;;;;;;;2011806107;;;;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;1994101800;;;
3;66;Classified;36;47:17.040;+14.529;+8.040;25;1:11.263;118.6;Audi Sport Abt Schaeffler Formula E Team;;;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
4;48;Classified;36;47:19.567;+17.056;+2.527;30;1:12.152;117.2;Venturi Formula E Team;;;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
5;4;Classified;36;47:22.787;+20.276;+3.220;30;1:11.943;117.5;Envision Virgin Racing;;;;Audi e-tron FE05;MICHELIN;;;;;;;2018020102;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;1991080701;;;
6;20;Classified;36;47:26.266;+23.755;+3.479;23;1:12.238;117.0;Panasonic Jaguar Racing;;;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
7;27;Classified;36;47:30.101;+27.590;+3.835;13;1:12.214;117.1;BMW i ANDRETTI MOTORSPORT;;;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Alexander;SIMS;;GBR;GBR;SIM;;;1989062202;;;
8;16;Classified;36;47:47.570;+45.059;+17.469;14;1:13.034;115.7;NIO Formula E Team;;;;NIO Sport 004;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
9;7;Classified;36;47:47.887;+45.376;+0.317;25;1:11.619;118.0;GEOX DRAGON;;;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
10;64;Classified;36;47:49.495;+46.984;+1.608;24;1:12.018;117.4;MAHINDRA RACING;;;;Mahindra M5Electro;MICHELIN;;;;;;;1985122700;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
