POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;99;Classified;39;46:01.971;-;-;32;59.400;129.2;China Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
2;27;Classified;39;46:03.676;+1.705;+1.705;28;59.574;128.8;Andretti Autosport Formula E Team;;1;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
3;11;Classified;39;46:04.965;+2.994;+1.289;24;59.731;128.4;Audi Sport ABT Formula E Team;;3;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
4;9;Classified;39;46:05.489;+3.518;+0.524;28;59.610;128.7;Team e.dams Renault;;4;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
5;21;Classified;39;46:10.815;+8.844;+5.326;27;59.459;129.0;Mahindra Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
6;7;Classified;39;46:15.431;+13.460;+4.616;19;59.583;128.8;Dragon Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
7;55;Classified;39;46:18.142;+16.171;+2.711;27;59.530;128.9;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
8;3;Classified;39;46:19.946;+17.975;+1.804;29;59.631;128.7;Virgin Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
9;6;Classified;39;46:20.407;+18.436;+0.461;31;59.239;129.5;Dragon Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
10;30;Classified;39;46:22.389;+20.418;+1.982;27;59.768;128.4;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
11;23;Classified;39;46:23.297;+21.326;+0.908;25;59.791;128.3;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
12;5;Classified;39;46:34.888;+32.917;+11.591;35;1:00.133;127.6;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
13;18;Classified;39;46:40.563;+38.592;+5.675;31;59.956;128.0;Trulli Formula E Team;;4;;Spark - Renault SRT_01 E;;Vitantonio;Liuzzi;;ITA;ITA;;
14;8;Classified;39;46:44.346;+42.375;+3.783;34;58.973;130.1;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
15;66;Classified;39;46:46.332;+44.361;+1.986;15;59.747;128.4;Audi Sport ABT Formula E Team;;4;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
16;88;Classified;39;47:00.096;+58.125;+13.764;33;59.379;129.2;China Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Charles;Pic;;FRA;FRA;;
;77;Not classified;27;34:41.747;;;26;1:00.252;127.3;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
;2;Not classified;22;29:43.659;;;13;59.241;129.5;Virgin Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
;10;Not classified;7;10:32.117;;;3;1:01.409;124.9;Trulli Formula E Team;;2;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
;28;Not classified;3;3:09.316;;;3;1:00.810;126.2;Andretti Autosport Formula E Team;;1;;Spark - Renault SRT_01 E;;Scott;Speed;;USA;USA;;
