,LAP_TIME,TRACK_TEMP,AIR_TEMP,WIND_SPEED,WIND_DIRECTION
0,68.321,39.44445,20.3611,8.04672,311.5
1,69.63,38.8889,20.3889,14.4841,277.0
2,71.147,39.44445,20.3611,8.04672,311.5
3,69.898,38.8889,20.3889,14.4841,277.0
4,68.62,38.8889,20.3889,14.4841,277.0
5,68.457,48.05555,20.6389,5.6327050000000005,225.5
6,69.923,48.05555,20.6389,5.6327050000000005,225.5
7,68.825,47.7778,20.6111,6.43738,221.0
8,68.69200000000001,47.7778,20.6111,6.43738,221.0
9,68.387,47.7778,20.8333,8.04672,282.5
10,68.17099999999999,47.7778,20.8333,8.04672,282.5
11,78.651,47.7778,20.8333,8.04672,282.5
12,69.219,48.05555,20.80555,9.65606,248.0
13,78.524,47.7778,20.8333,8.04672,314.0
14,68.961,47.7778,20.8333,8.04672,282.5
15,68.349,47.7778,20.8333,8.04672,314.0
16,68.325,47.7778,20.75,8.04672,119.0
17,69.214,47.7778,20.7222,6.43738,233.0
18,68.035,53.8889,25.30555,4.828035,218.5
19,71.267,53.8889,25.30555,4.828035,218.5
20,69.149,53.8889,25.3333,3.21869,253.0
21,68.822,53.8889,25.3333,3.21869,253.0
22,68.582,53.8889,25.3333,3.21869,253.0
23,68.738,53.6111,25.6389,7.242050000000001,240.5
24,68.465,53.3333,25.6111,8.04672,241.0
25,68.022,53.3333,25.6111,8.04672,241.0
26,68.223,55.2778,25.77775,3.21869,241.5
27,68.356,55.5556,25.8611,8.046745,233.0
28,69.08500000000001,55.0,25.7222,3.21869,259.0
29,67.854,55.2778,25.77775,3.21869,241.5
30,68.142,55.2778,25.77775,3.21869,241.5
31,67.805,55.5556,25.9444,4.828035,291.5
32,79.82900000000001,55.5556,25.9444,3.21869,265.0
33,67.993,55.5556,25.9444,4.828035,291.5
34,76.663,55.5556,25.9444,3.21869,265.0
35,68.583,55.5556,25.9444,4.828035,291.5
36,68.483,55.5556,25.9444,4.828035,291.5
37,76.92699999999999,55.5556,25.9444,3.21869,265.0
38,68.55199999999999,55.5556,25.9444,4.828035,291.5
39,64.699,40.92593333333333,29.962933333333336,2.68224,67.33333333333333
40,63.332,40.5556,29.9444,1.60934,185.0
41,74.712,41.6667,30.33335,5.6327050000000005,323.5
42,63.258,41.6667,30.22225,5.6327050000000005,308.0
43,69.61,40.83335,29.9444,2.414015,59.5
44,64.588,40.0,29.6111,5.6327050000000005,312.5
45,69.003,40.83335,29.9444,2.414015,59.5
46,79.051,40.0,29.64816666666667,5.36448,315.6666666666667
47,63.75,40.0,29.6111,5.6327050000000005,312.5
48,70.407,40.83335,29.9444,2.414015,59.5
49,77.185,41.6667,30.2778,5.36448,319.3333333333333
50,64.057,41.6667,30.1389,4.02336,166.5
51,65.352,40.92593333333333,29.962933333333336,2.68224,67.33333333333333
52,63.099000000000004,40.5556,29.9444,1.60934,185.0
53,73.011,42.2222,30.7222,4.82803,59.0
54,79.965,41.6667,30.2778,5.36448,319.3333333333333
55,64.74,41.6667,30.1389,4.02336,166.5
56,64.0,40.0,29.5,4.82803,316.0
57,70.572,40.0,29.5,4.82803,322.5
58,63.251,40.2778,29.5278,4.02336,330.0
59,65.0,40.0,29.5,4.82803,316.0
60,70.556,40.0,29.5,4.82803,322.5
61,63.915,40.2778,29.5278,4.02336,330.0
62,64.0,40.0,29.5556,4.82803,329.0
63,70.304,40.0,29.51853333333333,4.82803,324.6666666666667
64,63.615,40.2778,29.5278,4.02336,330.0
65,64.0,40.0,29.5556,4.82803,329.0
66,69.67,40.0,29.51853333333333,4.82803,324.6666666666667
67,65.166,40.2778,29.5278,4.02336,330.0
68,79.81700000000001,41.1111,30.0556,3.21869,93.0
69,70.397,42.2222,30.7222,4.82803,59.0
70,76.314,41.6667,30.33335,5.6327050000000005,323.5
71,63.231,41.6667,30.1852,4.828033333333333,212.66666666666663
72,64.0,40.0,29.5556,4.82803,329.0
73,66.419,40.0,29.5278,4.82803,322.5
74,63.317,40.1852,29.51853333333333,4.2915833333333335,325.3333333333333
75,71.668,21.1111,26.3889,8.04672,65.0
76,63.69,21.1111,26.3889,8.04672,117.0
77,63.425,21.6667,27.7222,8.04672,61.0
78,74.621,21.1111,26.3889,8.04672,65.0
79,63.099000000000004,21.1111,26.3889,8.04672,117.0
80,70.887,21.1111,26.3889,8.04672,169.0
81,63.563,21.1111,26.3889,8.04672,117.0
82,68.407,21.1111,26.3889,8.04672,169.0
83,63.022,21.1111,26.3889,8.04672,117.0
84,69.842,21.6667,27.4444,8.04672,90.0
85,62.983,21.6667,27.4444,8.04672,134.0
86,75.719,21.6667,27.4444,8.04672,90.0
87,63.688,21.6667,27.4444,8.04672,134.0
88,65.043,21.6667,26.3889,4.828035,28.0
89,63.363,21.6667,26.3889,5.6327050000000005,100.0
90,77.932,21.6667,26.3889,4.82803,149.0
91,67.417,21.6667,27.4444,8.04672,90.0
92,64.082,21.6667,27.4444,8.04672,134.0
93,68.206,21.6667,27.7222,8.04672,61.0
94,63.509,21.6667,27.7222,8.04672,61.0
95,70.742,21.6667,26.3889,4.828035,28.0
96,62.831,21.6667,26.3889,5.6327050000000005,100.0
97,71.419,21.6667,26.3889,4.828035,28.0
98,63.491,21.6667,26.3889,5.6327050000000005,100.0
99,73.779,21.6667,27.7222,8.04672,61.0
100,63.553,21.6667,27.7222,8.04672,61.0
101,73.123,21.6667,27.7222,8.04672,61.0
102,62.974000000000004,21.6667,27.7222,8.04672,61.0
103,71.575,21.6667,27.4444,8.04672,90.0
