POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;19;Classified;33;48:04.751;-;-;21;1:23.393;128.3;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;8005;;1990015169;;;
2;9;Classified;33;48:05.696;+0.945;+0.945;21;1:23.471;128.1;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
3;2;Classified;33;48:10.513;+5.762;+4.817;26;1:23.634;127.9;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Sam;BIRD;;GBR;GBR;BIR;1087;;1987010900;;;
4;3;Classified;33;48:11.305;+6.554;+0.792;32;1:22.832;129.1;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
5;25;Classified;33;48:16.989;+12.238;+5.684;31;1:23.248;128.5;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;1086;;1990042500;;;
6;6;Classified;33;48:21.242;+16.491;+4.253;32;1:23.570;128.0;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;José Maria;LOPEZ;;ARG;ARG;LOP;8004;;1983042600;;;
7;23;Classified;33;48:33.132;+28.381;+11.890;28;1:23.710;127.8;Mahindra Racing;;;;Mahindra M4Electro;MICHELIN;;;;;;;2011806107;;;;Nick;HEIDFELD;;DEU;DEU;HEI;1099;;1977051000;;;
8;27;Classified;33;48:37.131;+32.380;+3.999;24;1:23.811;127.6;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Tom;BLOMQVIST;;GBR;GBR;BLO;8016;;1993113000;;;
9;36;Classified;33;48:38.271;+33.520;+1.140;26;1:23.938;127.4;DS Virgin Racing;;;;DS Virgin DSV-03;MICHELIN;;;;;;;2016908105;;;;Alex;LYNN;;GBR;GBR;LYN;8010;;1991015233;;;
10;66;Classified;33;48:45.702;+40.951;+7.431;15;1:22.902;129.0;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Daniel;ABT;;DEU;DEU;ABT;1080;;1990015408;;;
11;20;Classified;33;48:51.029;+46.278;+5.327;19;1:23.308;128.4;Panasonic Jaguar Racing;;;;Jaguar I-Type II;MICHELIN;;;;;;;2016020101;;;;Mitch;EVANS;;NZL;NZL;EVA;8007;;1990015617;;;
12;5;Classified;33;48:51.666;+46.915;+0.637;26;1:23.631;127.9;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Maro;ENGEL;;DEU;DEU;ENG;8003;;1985082700;;;
13;8;Classified;33;48:57.850;+53.099;+6.184;26;1:23.494;128.1;Renault e.dams;;;;Renault Z.E. 17;MICHELIN;;;;;;;2015908104;;;;Nicolas;PROST;;FRA;FRA;PRO;2032;;1981081801;;;
14;28;Classified;33;49:05.867;+1:01.116;+8.017;19;1:23.018;128.8;Andretti Formula E;;;;Andretti ATEC-03;MICHELIN;;;;;;;2017908103;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
15;7;Classified;33;49:18.556;+1:13.805;+12.689;12;1:22.963;128.9;DRAGON;;;;PENSKE EV-2;MICHELIN;;;;;;;2016908101;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;1084;;1985122700;;;
16;68;Classified;32;48:22.384;1 Lap;1 Lap;21;1:23.821;127.6;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Luca;FILIPPI;;ITA;ITA;FIL;8015;;1985080900;;;
17;4;Classified;30;44:17.064;3 Laps;2 Laps;24;1:23.147;128.6;Venturi Formula E Team;;;;Venturi VM200-FE-03;MICHELIN;;;;;;;2016908106;;;;Edoardo;MORTARA;;CHE;CHE;MOR;8014;;1988010183;;;
;16;Not classified;17;25:08.742;;;5;1:24.194;127.0;NIO Formula E Team;;;;NextEV NIO Sport 003;MICHELIN;;;;;;;2017908102;;;;Oliver;TURVEY;;GBR;GBR;TUR;9092;;1987040100;;;
;18;Not classified;14;20:06.446;;;7;1:24.514;126.6;TECHEETAH;;;;Renault Z.E. 17;MICHELIN;;;;;;;2016908103;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
;1;Not classified;7;11:49.935;;;4;1:24.220;127.0;Audi Sport ABT Schaeffler;;;;Audi e-tron FE04;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
